order_id,post_ms,ryw_ms,total_ms,polls
820fc460-db4b-49d2-be7a-9f96416365f1,14.336541999909969,4.725875000076485,19.062416999986453,1
e43352b0-ac23-4639-8160-592dcf94531d,2.0489170001383172,0.9163330000774295,2.9652500002157467,1
2a1f4b3e-b2cb-4eb5-a653-1506b076ac83,1.6395839998040174,0.8884160001798591,2.5279999999838765,1
6daa624b-e71c-43f3-a7be-becf014e560f,1.4375420000760641,0.9102079998228874,2.3477499998989515,1
1ea2fa2b-704d-4c13-9509-d6b53a12c15d,1.4511670001411403,0.833250000141561,2.2844170002827013,1
afe67b8d-dba1-4149-a7dd-a80d26dcc40a,1.4151669997772842,0.8174170002348546,2.232584000012139,1
3cf4927f-73d5-40c7-a028-549532cd1c17,1.465041999836103,0.8388330002162547,2.303875000052358,1
38ac0427-db25-49ff-b169-3945cdb87c92,1.484124999933556,0.7967500000631844,2.2808749999967404,1
0efb6663-a339-4467-9910-9a3ea3a404c4,1.447084000119503,0.7719999998698768,2.2190839999893797,1
e6431523-fc37-495a-82c7-c2734d85220f,1.4143339999463933,0.736040999981924,2.1503749999283173,1
ab00830f-d1d7-4902-b6e2-efbd8ebfa76f,1.4230830001906725,0.8842920001370658,2.3073750003277382,1
d8f95718-dee1-4489-a04b-162d4020b401,1.405125000019325,0.7922919999145961,2.197416999933921,1
35e0e969-5aab-4c52-bbf1-65b4fb81b956,1.454499999908876,0.9174169999823789,2.371916999891255,1
5243cadd-2ebd-4794-bd01-09b301762bc0,1.366667000183952,0.7868749999033753,2.1535420000873273,1
587d01a6-6749-4e15-9354-7a2dd2d42b78,1.2666249999711,0.732334000076662,1.998959000047762,1
176bd7f4-24a8-4eeb-ba05-4bea5bdd3ec7,1.2910420000480372,0.7340419997490244,2.0250839997970616,1
ea8f0450-97a0-4ffc-bdbb-a12c7840fa4c,1.2379589998090523,0.6968749999032298,1.934833999712282,1
b2e2d83c-e3c6-41fc-901a-96be66d59d4f,1.2692499999502616,0.9605410000403936,2.229790999990655,1
1d7fa8dd-3272-4f65-93c1-637f4d422ed1,1.4186669995979173,0.775916000293364,2.1945829998912814,1
e2534cbd-8ba0-4cde-91dc-27198f29e610,1.2575840000863536,0.8036659996832896,2.061249999769643,1
9b13bbc9-371a-4084-8dbb-4f995ef47364,1.3309579999258858,0.7895419998931175,2.1204999998190033,1
775e391b-e1cd-48a0-9ba9-40bd6a6caa99,1.3803339998048614,0.6941660003576544,2.074500000162516,1
6eef3959-eef8-430c-b9e4-bb81a974e30b,1.1623750001490407,0.8517500000380096,2.0141250001870503,1
d96ee939-7a43-43ae-9e6e-dc1a48931dd6,1.280750000205444,0.7082079996507673,1.9889579998562112,1
60da15a0-04fd-4208-86ba-5b32fdfe5216,1.2962910000169359,0.7016250001470326,1.9979160001639684,1
